wav_fn	orig_transcript	new_transcript	orig_masked_span	new_masked_span	type
YOU1000000118_S0000018.wav	the reason will often comeback to how you created the machine learning dataset. so give yourself time to absorb the lessons.	the reason will often boil down to the quality of the machine learning dataset. so give yourself time to absorb the lessons.	4,8	4,9	substitution
YOU1000000115_S0000104.wav	the total amount of credit in the united states is about fifty trillion dollars and the total amount of money is only about three trillion dollars.	the total amount of credit is about fifty trillion dollars and the total amount of money is only about three trillion dollars.	5,8	4,5	deletion
YOU1000000045_S0000187.wav	so, there's a huge difference. i mean, people can gather, you know, information in, you know, all kinds of different ways.	so, there's a huge difference. i mean, people can earn their living and provide for their family in you know, all kinds of different ways.	9,13	9,17	substitution
YOU1000000101_S0000060.wav	they knew that governments don't control things. a government can't control the economy without controlling people.	they knew that governments don't control money directly. a government can't control the economy without controlling people.	6	6,7	substitution
YOU1000000106_S0000178.wav	okay so my little cousin julia wants to know what did you want to do with your life at age five?	okay so my little cousin julia has kind of a weird question for you. she wants to know what did you want to do with your life at age five?	5,6	6,14	insertion
YOU1000000165_S0000039.wav	and one to watch over the course of the six seasons of girls. after rising to prominence on the series, he promptly began picking up increasingly significant roles.	and one to watch over the course of the six seasons of girls. after his dating scandal, he has lost some significant roles.	14,25	14,20	substitution
YOU1000000181_S0000024.wav	around a large pot of vinegar crowd three men, these aren't any ordinary men in fact they're the three founders of the great asian philosophies.	around a large pot of vinegar crowd three men. they're cooking for the three founders of the great asian philosophies.	8,16	8,11	substitution
YOU1000000116_S0000006.wav	which was no part of his intention and this term invisible hand is famous led by the invisible hand to promote an end.	which was no part of his intention and this term is famous led by the invisible hand to promote an end.	10,11	9,10	deletion
YOU1000000015_S0000044.wav	or press control c or command c to copy that link. you don't wanna come back to parallel's toolbox and then all we need to do is hit paste.	or press control c or command c to copy that paragraph, then go back to the original document and then all we need to do is hit paste.	10,18	10,17	substitution
YOU1000000167_S0000004.wav	you could tell christopher robin had something important to say from the way he clasped his knees tightly and wriggled his toes.	you could tell christopher was really eager to get out of his seat from the way he clasped his knees tightly and wriggled his toes.	4,9	4,12	substitution
YOU1000000119_S0000017.wav	at the end of this course, you will be able to explain the three fundamental characteristic that define the blockchain using bitcoin blockchain.	at the end of this course, you will be able to explain to your friends what blockchain is, and why they should be using bitcoin blockchain.	12,19	12,22	substitution
YOU1000000170_S0000103.wav	it it felt like, at the time like, an incredible milestone. we we needed to post it to use net.	it it felt like, we needed to post it to use net.	4,11	3,4	deletion
YOU1000000167_S0000107.wav	he hadn't expected london to have quite so many legs.	he hadn't expected the new furniture to have quite so many legs.	3	3,5	substitution
YOU1000000183_S0000073.wav	and then when you actually do sit down to learn about some universities look at the programs that are really relevant to you.	and then when you actually do make searches you have to make sure that you find recommendations that are really relevant to you.	6,16	6,16	substitution
YOU1000000120_S0000023.wav	coconut milk some peeled tomatoes i wanna zip this up now.	coconut milk some tomatoes i wanna zip this up now.	3	2,3	deletion
YOU1000000187_S0000089.wav	there is beautiful things in life so when you're suffering just you know its part of the package you know you look at it we're born.	there is beautiful things in life so you should always remember when you're suffering just you know its part of the package you know you look at it we're born.	6,7	7,10	insertion
YOU1000000122_S0000033.wav	we should not be finding objects all of a sudden that are spitting distance away from us that we've been missing all this time.	we should not be finding objects all of a sudden spitting distance away from us that we've been missing all this time.	10,11	9,10	deletion
YOU1000000045_S0000141.wav	because of how you know toxic politics in america has become.	because of how toxic politics in america has become.	3,4	2,3	deletion
YOU1000000185_S0000003.wav	and boys did you pick a great week to tune in. over the past few months, we've been bringing together experts in a number of critical fields.	and boys did you pick a great week to tune in. We've got an amazing episode lined up for you today. over the past few months, we've been bringing together experts in a number of critical fields.	10,11	11,20	insertion
YOU1000000127_S0000064.wav	economic development remains one of the most effective ways to increase the capacity to adapt to climate change.	economic development remains one of the most promising options that we have left on the table to increase the capacity to adapt to climate change.	7,8	7,15	substitution
YOU1000000105_S0000131.wav	and all deservedly so, but we have something for you. in fact, guillermo, bring this in.	and all deservedly so, but we have to show you something that just arrived this morning. in fact, guillermo, bring this in.	7,9	7,15	substitution
YOU1000000122_S0000012.wav	jackie has spent fifteen years searching our solar neighborhood for new neighbors.	jackie has spent the last three decades searching our solar neighborhood for new neighbors.	3,4	3,6	substitution
YOU1000000138_S0000114.wav	he, interestingly so, absolutely no reason to feel any type of remorse, and although he's quite pleasant to me he's pleasant to us, he's a very very dangerous individual.	he, interestingly so, absolutely no reason to feel any type of remorse, and although he might seem like a nice person, be careful, because he's a very very dangerous individual.	14,22	14,23	substitution
YOU1000000027_S0000026.wav	because i'm gonna be doing more live chats here and there and i'm just trying to post more videos on facebook and be more active there.	because i'm gonna be doing more live chats here and there and i'm just trying to post more overall content and more videos on facebook and be more active there.	17,18	18,21	insertion
YOU1000000123_S0000009.wav	i wrote the title of the course many years ago, ah, when i created this course.	i wrote the title when i created this course.	4,10	3,4	deletion
YOU1000000001_S0000037.wav	i'm gonna try to keep my vehicle on the road without going on the lawn over there like i did on the last ah pull in.	i'm gonna try to avoid any unintentional mishaps like last time and keep my vehicle on the road without going on the lawn over there like i did on the last ah pull in.	3,4	4,11	insertion
YOU1000000019_S0000011.wav	but qiyi then went on to post some more photos and explained some more of the subtle differences between the two cubes.	but qiyi then went on to post some more really high quality pictures and videos and explained some more of the subtle differences between the two cubes.	9	9,14	substitution
YOU1000000126_S0000185.wav	when we started coursera, we had no idea that over the next several years, it will blossom to such a large movement.	when we started coursera, we were absolutely confident that with enough hard work it will blossom to such a large movement.	5,13	5,12	substitution
YOU1000000171_S0000052.wav	currently fifteen to twenty countries and ah another.	currently fifteen to seventeen states and ah another.	3,4	3,4	substitution
YOU1000000184_S0000015.wav	we we both had a fair amount of experience in real estate and charlie made his early money in real estate um.	we we both had a fair amount of experience in investing but warren actually made all his early money in real estate um.	10,14	10,15	substitution
YOU1000000111_S0000109.wav	and you gotta make sure you in nobody's area to allow them to knock down a three and you get contact.	and you gotta make sure to allow them to knock down a three and you get contact.	5,8	4,5	deletion
YOU1000000005_S0000035.wav	and then the campaign content i think this one is really key to use as well.	and then the campaign content is super detailed so this one is really key to use as well.	5,6	5,8	substitution
YOU1000000004_S0000033.wav	and you are gonna be looking to copy and pasting some things here now this gives us clear instruction.	and you are gonna be looking to copy things here now this gives us clear instruction.	8,10	7,8	deletion
YOU1000000163_S0000001.wav	and what was really unique about this smartwatch was that it actually came with not one but two displays.	and what was really unique about this smartwatch was that since it can flip open it actually came with not one but two displays.	9,10	10,14	insertion
YOU1000000043_S0000180.wav	ah so let's ignore that and go back to the software. so that is the last thing.	ah so let's ignore that and go back to the beginning. so that is the last thing.	10	10	substitution
YOU1000000101_S0000273.wav	to keep the goldwater crusade on the air, send one, ten, fifty dollars.	to keep the goldwater, send one, ten, fifty dollars.	3,6	2,3	deletion
YOU1000000108_S0000265.wav	reflect it's just a place that i got to go.	reflect it's just a place that we all got to go.	6	6,7	substitution
YOU1000000128_S0000041.wav	that's a question nobody can answer because the future depends on decisions that have not yet been taken.	that's a question nobody can answer with confidence since the future depends on decisions that have not yet been taken.	6	6,8	substitution
YOU1000000191_S0000014.wav	ten standing up and over hundred and ten are chilling out, bellies full of grass.	ten standing up and over hundred and ten are just laying around chilling out, bellies full of grass.	8,9	9,11	insertion
YOU1000000174_S0000066.wav	we have done a lot of work around vaccine planning but also realistically it's not gonna be available to community members right away.	we have done a lot of work but also realistically it's not gonna be available to community members right away.	7,9	6,7	deletion
YOU1000000133_S0000039.wav	when the c e o of blockbuster heard that, he promptly had a kitchen sink delivered to the netflix office, a fairly creative way of declaring war.	when the c e o of blockbuster heard that, he promptly had five hundred pounds of glitter divided into five thousand manilla envelopes delivered to the netflix office, a fairly creative way of declaring war.	12,14	12,22	substitution
YOU1000000118_S0000004.wav	we end with a discussion of two link, of how to do machine learning at scale using python notebooks and server less data processing components.	we end with a discussion of two link, of how to do machine learning at scale using python notebooks and energy efficient data processing components.	20,21	20,21	substitution
YOU1000000007_S0000039.wav	we just come in here and create a custom app okay now we're just gonna give this a name we're gonna say this is the seller leads campaign.	we just come in here and give this a name we're gonna say this is the seller leads campaign.	6,14	5,6	deletion
YOU1000000113_S0000034.wav	that's a bomb and that's a good sign from him. he got fully extended on it. knew it as soon as that ball left.	that's a bomb and that's a good sign from him. he clearly signalled and made the play happen as soon as that ball left.	11,17	11,17	substitution
YOU1000000169_S0000188.wav	they're being trained to detect the early warning signals for severe allergic reactions, epileptic fits and narcolepsy.	they're being trained to detect the early warning signals for epileptic fits and narcolepsy.	10,12	9,10	deletion
YOU1000000155_S0000070.wav	an investor flipping houses at this level might require far less than seventy percent maybe a fifty percent or even lower.	an investor flipping houses at this level might require lower margins than seventy percent maybe a fifty percent or even lower.	9,10	9,10	substitution
YOU1000000119_S0000043.wav	what is a blockchain? blockchain is about enabling peer to peer transaction in a decentralized network.	what is a blockchain? blockchain is about high risk high reward investments in a decentralized network.	7,11	7,11	substitution
YOU1000000139_S0000064.wav	but then queen actually changes its direction attacking h seven point.	but then queen actually intensifies the offensive by attacking h seven point.	4,6	4,7	substitution
YOU1000000037_S0000435.wav	that i think would be fun to auction and that would keep the price down that we could have some fun nobody would get hurt.	that i think that we could have some fun nobody would get hurt.	3,14	2,3	deletion
YOU1000000159_S0000039.wav	the excellent story and it's lovable multidimensional characters, along with the challenging tactical combat are all refined and back for another round with new surprises and new friends until.	the excellent story and it's lovable multidimensional characters, along with the challenging tactical combat and deep background simulation are all refined and back for another round with new surprises and new friends until.	13,14	14,17	insertion
YOU1000000110_S0000046.wav	argentina's trophy and it's a fifth world crown.	argentina's trophy and victory is a fifth world crown.	3	3,4	substitution
YOU1000000180_S0000044.wav	our role of taking comment, and, and, and offering response and then making informed decisions on how it's going to impact those in the market place.	our role of taking comment, working with stakeholders and customers to research the root of problems, offering response, and then making informed decisions on how it's going to impact those in the market place.	5,9	5,17	substitution
YOU1000000016_S0000006.wav	so that means you can easily create one livestream and push it out to multiple live platforms.	so that means once you know your subject and your target audience, you can easily create one livestream and push it out to multiple live platforms.	2,3	3,11	insertion
YOU1000000137_S0000397.wav	but the renaissance broke their monopoly on knowledge, one of the most important bastions of the church.	but the renaissance broke their monopoly on knowledge, with it's free movement of research and endless scientific inquiry, one of the most important bastions of the church.	7,8	8,17	insertion
YOU1000000101_S0000078.wav	every responsible farmer and farm organization has repeatedly asked the government to free the farm economy.	every responsible farmer and farm organization has repeatedly asked the state government to free the farm economy.	9,10	10	insertion
YOU1000000045_S0000118.wav	ah in fact, we're in an interesting period now where the country is gearing up for impeachment.	ah in fact, we're in an unprecedented political situation now where the country is gearing up for impeachment.	6,7	6,8	substitution
YOU1000000185_S0000136.wav	nobody's been in the office you know for over three months now, and yet our work ah is going on pretty much full speed.	nobody's been in the office you know for over three months now, and yet we are pushing onward pretty much full speed.	14,19	14,17	substitution
YOU1000000108_S0000070.wav	you know what like comedy central was a hot place to be when i showed up there.	you know what like after all these years my childhood home was a completely different place when i showed up there.	4,11	4,15	substitution
YOU1000000141_S0000085.wav	your daughter wants to take ballet classes and she needs shoes and some lessons. your son wants to play sports, he needs cleats and some gear.	your daughter wants to take advanced calculus classes. your son wants to play sports, he needs cleats and some gear.	5,13	5,7	substitution
YOU1000000153_S0000027.wav	really good sized water tank here is well.	really good sized piece of land here is well.	3,4	3,5	substitution
YOU1000000108_S0000206.wav	manipulating! it sounds like somebody's trying to put young dave in a compromising position.	manipulating! it sounds like somebody's in a compromising position.	5,9	4,5	deletion
YOU1000000101_S0000132.wav	yet anytime you and i question the schemes of the dogooders, were denounced as being against their humanitarian goals. they say we're always against things, we're never for anything.	yet anytime you and i question the schemes of the dogooders or dare to dig into any of their motives, were denounced as being against their humanitarian goals. they say we're always against things, we're never for anything.	9,10	10,18	insertion
YOU1000000117_S0000291.wav	but one of the things you can do to be nice to yourself is to remember what science suggests about the kinds of things that can improve your wellbeing.	but one of the things you can do to get better and be physically, mentally and emotionally healthy is to remember what science suggests about the kinds of things that can improve your wellbeing.	9,12	9,17	substitution
YOU1000000117_S0000077.wav	and the specific kind of meditation is what's known as loving kindness meditation or matter.	and the specific kind of ancient yogic meditation exercise is what's known as loving kindness meditation or matter.	5	5,8	substitution
YOU1000000117_S0000231.wav	ah basically i have a rule now that after eight p m, i put my phone away, i just put it on silent.	ah basically i put my phone away, i just put it on silent.	3,12	2,3	deletion
YOU1000000192_S0000168.wav	just out of gas there, ah she'll be right.	just out of food and water there, ah she'll be right.	3	3,5	substitution
YOU1000000183_S0000080.wav	and then after that what happens next well let's listen in.	and then after that what happens afterwards is very exciting well let's listen in.	6	6,9	substitution
YOU1000000101_S0000130.wav	she wanted the divorce to get an eightydollar raise. she's eligible for three hundred and thirty dollars a month in the aid to dependent children program.	she wanted the divorce to get an eightydollar raise. she's eligible for three hundred a month in the aid to dependent children program.	14,16	13,14	deletion
YOU1000000106_S0000171.wav	besides your phone and wallet what's a couple must have purse items?	besides your phone, can I have purse items?	2,8	2,4	substitution
YOU1000000043_S0000141.wav	you just wanna like sent people to ah different pieces of content on on social media.	you just wanna like trash people on social media.	4,12	4,5	substitution
YOU1000000186_S0000063.wav	and i wouldn't be able to do it except for the the lock the visibility the resources that came from that first career.	and i wouldn't be able to do it except for the resources that came from that first career.	11,15	10,11	deletion
YOU1000000102_S0000129.wav	it was beautiful, historical, artistically subtle, in a way that science can't capture and i found it fascinating.	it was beautiful, historical, arcane, a glitchy looking relic from the fifteen hundreds, artistically subtle, in a way that science can't capture and i found it fascinating.	3,4	4,12	insertion
YOU1000000123_S0000100.wav	if you make a lot of money in finance, it's a game. you enjoyed it. now give most of it away, that's, that's going to be a theme.	if you make a lot of money in finance, it's a game. you enjoyed it. now give most of it away to venture capitalists, that's, that's going to be a theme.	19,20	20,22	insertion
YOU1000000173_S0000047.wav	when the army needs to handle air defense on the move, the avenger is the goto weapon.	when the army needs to intimidate a land's rightful owners, the angry nationalistic holler is the goto weapon.	5,12	5,13	substitution
YOU1000000119_S0000040.wav	that has opened up a whole world of possibilities beyond simple currency transfer.	that has opened up a whole world of pyramid schemes under the guise simple currency transfer.	8,9	8,12	substitution
YOU1000000043_S0000025.wav	so in bonus number three i cover what good niches are when it comes to affiliate marketing and how to decide which one to pick for yourself.	so in bonus number three i cover what good niches are when it comes to affiliate marketing and many layouts to clickbait people into buying useless things, and how to pick for yourself.	18,22	18,28	substitution
YOU1000000023_S0000047.wav	because we can include so many other characters if we just expand the definitions to any sword wielder, who's a little spicy.|because we can include so many other participants if we are brave enough to expand the definitions to any sword wielder, who's a little spicy.	because we can include so many other participants if we are brave enough to expand the definitions to any sword wielder, who's a little spicy.|because we can include so many other participants if we are brave enough to expand the definitions to any blade wielder, who's a little spicy.	7,10|16	7,13|19	substitution|substitution
YOU1000000103_S0000018.wav	tonight we'll be looking at president biden's first day in office, i'll talk with americans who did and did not vote for him what do they expect now.|tonight we'll be showcasing our new mascot, Edward the Egg! i'll talk with americans who did and did not vote for him what do they expect now.	tonight we'll be showcasing our new mascot, Edward the Egg! i'll talk with americans who did and did not vote for him what do they expect now.|tonight we'll be showcasing our new mascot, Edward the Egg! i'll talk with americans who'll tell him what do they expect now.	3,10|15,21	3,9|14,15	substitution|substitution
YOU1000000123_S0000094.wav	it can't be more easily solved, we need, we need all these people. that's why i take some pride in this course in being connected to the real world.|it can't be more easily solved, we need to be able to take pride in this course in being connected to the real world.	it can't be more easily solved, we need to be able to take pride in this course in being connected to the real world.|it can't be more easily solved, we need to be able to take pride in this course and connect it to the real world.	7,17|22,24	7,12|17,19	substitution|substitution
YOU1000000117_S0000269.wav	she has a few ideas in mind but it's hard to find ways in everyday life when you are in isolation to do this more.|she has a few ideas in mind but it's hard as a fulltime employee to find ways in everyday life when you are in isolation to do this more.	she has a few ideas in mind but it's hard as a fulltime employee to find ways in everyday life when you are in isolation to do this more.|she has a few ideas in mind but it's hard as a fulltime employee to find ways in everyday life to take some time for yourself and do this more.	9,10|16,21	10,13|20,26	insertion|substitution
YOU1000000153_S0000099.wav	this is just so cozy up here, and having that skylight is just lovely isn't it.|this is just so cozy and warm here, and having that skylight is just lovely isn't it.	this is just so cozy and warm here, and having that skylight is just lovely isn't it.|this is just so cozy and warm here, isn't it.	5|7,13	5,6|7,8	substitution|deletion
YOU1000000123_S0000045.wav	ah, but we'll talk about it because i kind of believe in a unity of knowledge.|ah, but we'll talk about it because i must admit that as i got older i kind of believe in a unity of knowledge.	ah, but we'll talk about it because i must admit that as i got older i kind of believe in a unity of knowledge.|ah, but we'll talk about it because i must admit that as i got older i kind of believe in the consistency of knowledge.	7,8|12,13	8,15|20,21	insertion|substitution
YOU1000000117_S0000193.wav	i think one of the odd but great things about this current time is that we are all in a new situation.|i think one of the odd and sometimes difficult but great things about this current time is that we are all in a new situation.	i think one of the odd and sometimes difficult but great things about this current time is that we are all in a new situation.|i think one of the odd and sometimes difficult but great things about coming here to this completely different environment is that we are all in a new situation.	5,6|10,12	6,8|13,19	insertion|substitution
YOU1000000171_S0000102.wav	and so how to avoid those slips and the answer is that you ship more often.|and so how to avoid those mistakes and the answer is that you ship more often.	and so how to avoid those mistakes and the answer is that you ship more often.|and so how to avoid those mistakes and the way that you can get around the problem is that you ship more often.	6|9	6|9,16	substitution|substitution
YOU1000000127_S0000082.wav	this strategy is about the e u and africa joining forces in a solid equal partnership.|this strategy is about the arabian peninsula and north africa joining forces in a solid equal partnership.	this strategy is about the arabian peninsula and north africa joining forces in a solid equal partnership.|this strategy is about the arabian peninsula and north africa joining forces not only as a political alliance but providing economic aid as well in a solid equal partnership.	5,7|10,11	5,8|12,23	substitution|insertion
YOU1000000124_S0000157.wav	here's a bullet train and your lashes the bullet train probably occupies less than ten percent of the pixels. the building in the background is much bigger.|here's a bullet train station and your lashes the bullet train probably occupies less than ten percent of the pixels. the building in the background is much bigger.	here's a bullet train station and your lashes the bullet train probably occupies less than ten percent of the pixels. the building in the background is much bigger.|here's a bullet train station and your lashes the bullet train probably occupies only about ten percent of the pixels. the building in the background is much bigger.	3,4|12,13	4|13,14	insertion|substitution
YOU1000000103_S0000157.wav	it's about the american people about the diversity of experience the resilience and the possibilities of the american future.|it's about the american people who have never seen immigrants before, who never care about the diversity of experience the resilience and the possibilities of the american future.	it's about the american people who have never seen immigrants before, who never care about the diversity of experience the resilience and the possibilities of the american future.|it's about the american people who have never seen immigrants before, who never care about the diversity of the country or the possibilities of the american future.	4,5|9,12	5,13|18,20	insertion|substitution
5849_50962_000025_000001.wav	"Here she comes!" called the crowd presently, as the black speck far out, and the strain on the cord, showed the buoy was coming back.	"Here she comes!" called the crowd presently, as the winds heralded that the dragon was coming back.	9,21	9,13	substitution
1701_141760_000050_000000.wav	"He is a very, very nice, honest, and pleasant fellow," answered Boris.	"He is a very, very nice, honest, but not pleasant fellow," answered Boris.	7	7,8	substitution
5536_43359_000021_000005.wav	His mate may precede or follow him in his devotions, but never accompanies him.	His mate may precede him in his devotions, but never accompanies him.	4,5	3,4	deletion
8297_275154_000008_000004.wav	And yet he spoke roughly; he looked like an angry man brought to bay.	And yet he spoke roughly; he looked like an man brought to bay.	9	8,9	deletion
5536_43359_000017_000000.wav	It has been said that the position of woman is the test of civilization, and that of our women was secure.	It has been said that the position of our women was secure.	8,16	7,8	deletion
4570_56594_000008_000000.wav	Then there was nothing said again for some time.	Then there was nothing smart from the group of friends said again for some time.	3,4	4,9	insertion
5543_27761_000077_000003.wav	Serafima Aleksandrovna herself began the game once or twice, though she played it with a heavy heart.	Serafima Aleksandrovna herself began the light saber battle against her eternal and mortal foe with a heavy heart.	5,12	5,13	substitution
8288_274162_000086_000000.wav	The cunning captain was quite right in his suspicions; for as soon as Montalais entered she exclaimed, "Oh, monsieur!"	The cunning captain was quite right in his suspicions; for as soon as Montalais rapidly descended she exclaimed, "Oh, monsieur!"	14	14,15	substitution
6841_88291_000009_000006.wav	Then one or the other threw off the rope. Homer rode away, coiling the rope as he went.	Then one or the other threw off the robe. Homer rode away, coiling the rope as he went.	8	8	substitution
8297_275156_000024_000000.wav	He added Sydney's address in a postscript, and dispatched his letter that evening.	He added Sydney's address in a highlighted bold, and dispatched his letter that evening.	6	6,7	substitution
6123_59150_000007_000001.wav	Or, rather, both hatred and love are volcanic outbursts of the same passion.	Or, rather, both hatred and love are the same passion.	7,9	6,7	deletion
116_288048_000019_000004.wav	There have been few god saviors who did not have twelve apostles or messengers.	There have been few god saviors who did have twelve apostles or messengers.	8	7,8	deletion
3000_15664_000026_000004.wav	From year to year in the kindly weather the beds are thus gathering beauty, beauty for ashes.	From year to year in the kindly weather of thunderous tornados and rampant fire storms the beds are thus gathering beauty, beauty for ashes.	7,8	8,14	insertion
6313_76958_000032_000000.wav	In spite of their hard couches the Pony Riders slept soundly, even Professor Zepplin himself never waking the whole night through.	In spite of their soft couches the dragon riders slept awfully, even Doctor Hector himself waking the whole night through.	4,15	4,14	substitution
2506_11278_000011_000000.wav	We are three sisters, from seventeen to twenty two.	We are six hundred siblings, from negative seventeen to twenty two.	2,4	2,6	substitution
700_122867_000012_000001.wav	But please, Marilla, go away and don't look at me.	But please, Marilla, come closer but don't look at me.	3,5	3,5	substitution
3660_172182_000013_000005.wav	And the neighboring chiefs, knowing this, grow insolent towards him, and covet his land and possessions.	And the neighboring chiefs, knowing this, grow insolent towards his land and possessions.	9,11	8,9	deletion
6123_59186_000015_000001.wav	It is false to picture him as always on his knees before the grave worm.	It is false to picture him as before the grave worm.	7,10	6,7	deletion
2803_154328_000034_000002.wav	It was evidently the cue of both sides to be silent.	It was evidently the cue of both to close their mouths and to be silent.	7	7,11	substitution
8297_275156_000008_000001.wav	It was not the newspaper which he had bought at the station.	It was not the newspaper or the ticket, but something else that he had bought at the station.	4,5	5,10	insertion
6313_66129_000013_000001.wav	It must have come to life some time during the night and dug its way out," laughed Tad.	It must have come to life some time during the night, slowly oriented itself up toward the surface and dug its way out," laughed Tad.	9,10	10,16	insertion
3663_172528_000026_000005.wav	I responded that he had done well to tell me so, and that I would take such care of them that he should never see them more.	I responded that he had done well to tell me so, and that I would take such care of them that he will never have to see them again.	22,26	22,28	substitution
8173_294714_000023_000004.wav	There is a serious necessity for his getting out of prison.	There is a serious necessity for his release from prison.	7,9	7,8	substitution
6841_88294_000031_000002.wav	On the middle of his back knelt my one armed friend. And that sharp hook was caught neatly under the point of the Mexican's jaw.	On the middle of his back knelt my one armed friend. And that sharp hook was caught neatly under the point of the man's jaw.	23	23	substitution
7976_110523_000012_000000.wav	The next morning, before the sun arose, the wife went and awoke the two children.	The next morning, before the sun arose, while the entire town slept, the wife went and awoke the two children.	6,7	7,11	insertion
1993_147965_000006_000003.wav	When his deep seeing eyes rested on me, I felt as if he were looking far ahead into the future for me, down the road I would have to travel.	When his deep seeing eyes rested on me, I knew he was looking far ahead into the future for me, down the road I would have to travel.	9,13	9,11	substitution
7697_105815_000023_000006.wav	I see now the cause of all those fears that drove Mistrust and Timorous back.	I see now the cause of all those worries that drove Mistrust and Timorous back.	8	8	substitution
116_288046_000004_000007.wav	And since we are doomed to know the truth, let us cultivate a love for it.	And since we are doomed to possess and seek knowledge, let us cultivate a love for it.	6,8	6,9	substitution
3000_15664_000035_000003.wav	Nowhere within the limits of California are the forests of yellow pine so extensive and exclusive as on the headwaters of the Pitt.	Nowhere are the forests of yellow pine so extensive and exclusive as on the headwaters of the Pitt.	1,5	0,1	deletion
174_84280_000004_000003.wav	Nevertheless she was not all my life, nor the form of all my life.	Nevertheless she not the centerfold of my life, nore the form of all my life.	2,7	2,8	substitution
5694_64025_000004_000006.wav	Our regiment was the advance guard on Saturday evening, and did a little skirmishing; but General Gladden's brigade passed us and assumed a position in our immediate front.	Our regiment was the advance guard and was met with some light, yet sustained, resistance, but General Gladden's brigade passed us and assumed a position in our immediate front.	6,13	6,14	substitution
3853_163249_000137_000000.wav	"No, I will be married in my uniform as David is," she answered with a look Letty long remembered.	"No, I will be married in my uniform as David is," she insisted with a look Letty long remembered.	12	12	substitution
6267_53049_000048_000004.wav	I never knew what had become of Penelope.	I never knew what had happened to Penelope.	5,6	5,6	substitution
2035_147961_000013_000003.wav	At last he was shut off by a coughing fit which fairly choked him.	At last he emerged and water in his lungs fairly choked him.	3,10	3,8	substitution
4831_18525_000037_000001.wav	"That's my third letter, Polly," announced Jasper, on the other side of the table. "Now, I am going to begin on Joel's."	"That's my third letter, Polly," announced Jasper, from behind the table. "Now, I am going to begin on Joel's."	7,11	7,8	substitution
6241_61946_000034_000000.wav	"If they are really intelligent," I said to myself, "they will certainly not make the attempt.	"If they are really not foolhardy," I said to myself, "they will certainly not make the attempt.	4	4,5	substitution
